age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes
17,1,1,3,1,1,5,2,1,1,2,1,0,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,True,True,True,True
19,3,3,1,4,0,4,3,3,1,2,3,10,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False
15,4,3,1,2,0,4,3,3,2,3,5,6,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,False
15,3,4,1,2,0,5,4,4,1,1,1,0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False
18,4,4,2,3,0,5,4,4,1,1,1,0,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False
16,4,4,1,3,0,3,2,3,1,2,2,6,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,True,True,True,True,False
15,4,4,1,4,0,1,3,3,5,5,3,4,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,True,True,True
17,4,4,1,2,0,5,3,5,4,5,3,13,False,True,True,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,True,True
17,4,4,2,2,0,4,1,4,1,1,1,6,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False
16,4,3,1,1,0,3,1,3,1,3,5,4,False,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False
17,4,4,2,1,0,4,1,1,2,2,5,0,False,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,True,False
19,1,1,3,2,3,5,4,4,3,3,2,8,True,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,True,False
18,1,3,2,2,0,3,3,4,2,4,3,4,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False
17,1,3,3,2,1,5,2,4,1,4,5,20,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False
17,2,2,1,2,0,4,2,2,1,1,3,12,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True
19,4,4,2,2,0,2,3,4,2,3,2,0,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,True,True,True,True,True,False
18,2,1,2,1,0,4,4,3,1,3,5,5,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,True,True
17,1,2,1,1,0,3,5,5,1,3,1,14,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False
16,4,4,1,2,0,2,4,4,2,3,4,6,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,True,False,False
16,3,4,1,2,0,2,4,3,1,2,3,12,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False
17,3,2,1,1,1,4,4,4,3,4,3,19,False,True,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,True,False
16,2,1,3,1,0,4,3,3,1,1,4,6,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False
18,3,2,2,1,1,4,4,5,2,4,5,0,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
17,2,3,2,1,0,3,3,3,1,4,3,3,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False
16,4,4,1,3,0,5,4,5,1,1,4,4,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,True,True,True,True,True
16,3,3,3,2,0,5,3,2,1,1,4,4,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,True,False,False
16,3,2,2,1,1,4,5,2,1,1,2,16,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False
15,2,4,1,3,0,4,3,2,1,1,5,2,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False
15,3,4,1,2,0,5,3,2,1,1,1,0,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,True,True,True
18,4,3,1,3,0,5,3,2,1,2,4,9,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,True
16,2,2,2,2,0,3,4,4,1,4,5,2,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,True,True,False
17,2,2,2,2,0,4,4,4,2,3,5,6,False,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,False,True,True,True,True
17,2,3,2,1,0,5,2,2,1,1,2,4,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
18,2,2,1,2,1,5,5,4,3,5,2,0,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
19,3,2,1,1,3,4,5,4,1,1,4,0,False,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True
18,4,3,1,2,0,4,3,2,1,1,3,2,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False
18,3,2,1,3,0,5,3,2,1,1,3,1,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
17,4,4,1,2,0,4,4,4,1,3,5,0,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False
15,3,4,1,1,0,3,4,3,1,2,4,6,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False
18,1,1,2,2,1,1,1,1,1,1,5,0,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False
17,4,4,2,1,1,4,2,4,2,3,2,24,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,True,True,False
15,4,4,2,1,0,4,3,2,1,1,5,0,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False
16,4,4,1,1,0,3,3,2,2,1,5,0,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True
17,2,2,1,3,0,3,3,2,2,2,3,3,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,True,True,True,False
15,4,3,1,3,0,5,4,3,1,1,4,2,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,True,True,True,False
17,1,1,1,3,0,4,3,3,1,1,3,6,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True,False
15,3,3,2,3,2,4,2,1,2,3,3,8,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,True,True,True,True,True,True
18,3,2,2,1,1,2,5,5,5,5,5,10,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
17,2,3,2,2,0,4,4,3,1,1,3,2,True,True,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,False
16,4,2,1,2,0,4,2,3,1,1,5,2,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False
16,3,3,1,3,1,4,1,2,1,1,2,0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,True,True,True,True,False
18,4,4,1,3,0,4,3,3,2,2,3,3,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False
16,0,2,1,1,0,4,3,2,2,4,5,0,False,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False
16,2,2,1,2,0,4,4,4,1,1,3,0,False,True,True,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,True,False
17,2,2,1,2,0,5,4,5,1,2,5,4,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
18,2,3,1,4,0,4,5,5,1,3,2,4,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True,True,True,True
18,1,1,1,1,3,2,3,5,2,5,4,0,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True
15,4,4,1,2,0,3,3,3,1,2,2,0,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,True,True,True,False
17,1,2,2,2,0,4,4,4,4,5,5,12,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False
15,3,2,2,2,0,4,3,5,1,1,2,26,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,True,True,False,True,True,True,False
15,2,3,1,3,0,5,3,2,1,2,5,4,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,False
18,4,2,1,2,0,4,3,2,1,4,5,11,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,True
18,4,4,2,3,0,4,2,2,2,2,5,0,True,True,True,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,True,True
17,1,1,1,2,0,4,4,4,1,3,1,4,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False
18,3,2,1,3,0,5,4,3,2,3,1,7,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,True,True
17,1,3,1,1,0,5,3,3,1,4,2,2,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
18,4,3,2,2,0,4,4,5,1,2,2,10,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,True,True,True,True
16,4,4,1,2,0,4,1,3,3,5,5,18,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False
17,2,2,1,1,0,5,3,2,1,2,3,18,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False
15,1,2,1,2,0,4,3,2,1,1,5,2,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False
16,2,3,1,2,0,2,3,1,1,1,3,2,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,True,False
16,3,1,1,2,0,3,3,3,2,3,2,4,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False
15,3,1,2,4,0,4,4,2,2,3,3,12,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
16,4,4,1,1,0,3,4,4,1,4,5,18,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,False
16,4,3,2,1,0,3,3,3,1,1,4,2,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,True,True,False,True,False,True,True,False
16,1,1,1,1,0,3,4,4,3,3,1,2,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False
18,4,4,1,1,0,1,4,2,2,2,1,5,False,True,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,True,True,True,True
16,2,1,1,2,0,4,3,5,1,1,5,2,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,False,True
17,4,4,1,2,0,4,5,5,1,3,2,14,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,True,True,False,True,True,True,True,True
15,2,2,2,2,0,4,1,3,1,3,4,2,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,True,True,False
16,2,2,2,2,0,5,4,4,2,4,5,0,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False
16,4,4,2,3,0,2,4,3,1,1,5,7,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,True
17,2,1,1,1,3,5,4,5,1,2,5,0,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,True,False
16,2,4,2,2,0,4,2,2,1,2,5,2,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
16,3,1,1,4,0,4,3,3,1,2,5,4,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False
16,4,3,1,2,0,3,4,3,2,3,3,10,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,True,True,True,False
16,1,1,2,1,0,4,3,2,1,4,5,6,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False
18,1,1,2,4,0,5,2,2,1,1,3,1,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,False,False
18,4,4,3,2,0,3,2,2,4,2,5,10,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,True,True
17,4,1,2,1,0,4,5,4,2,4,5,30,False,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True
15,3,4,1,1,0,5,5,5,3,2,5,0,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,True,False
15,3,2,1,2,3,3,3,2,1,1,3,0,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,True,False
17,2,1,2,3,0,3,2,3,1,2,3,10,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True
16,2,2,1,2,0,4,3,4,1,2,2,4,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False
18,3,3,1,2,0,5,3,4,1,1,4,0,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,True,True,False
17,2,2,1,3,0,4,3,3,1,1,4,4,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False
18,2,2,1,2,0,4,3,3,1,1,2,0,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,True
17,2,4,1,2,0,4,3,2,1,1,5,0,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True
17,2,4,2,2,0,4,3,3,1,1,1,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,True,True,True,True
18,4,3,1,4,0,4,3,3,1,1,3,0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False
17,3,3,1,2,0,5,3,3,2,3,1,56,False,False,True,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,True,True,True
17,2,1,2,2,0,4,2,5,1,2,5,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,True,False
19,1,2,1,2,1,4,5,2,2,2,4,3,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False
19,3,1,1,3,1,5,4,3,1,2,5,12,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False
18,4,4,1,2,1,2,4,4,1,1,4,15,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,True,True,True
16,4,4,1,1,0,3,5,5,2,5,4,8,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True,True,False
15,3,4,1,3,0,4,3,2,1,1,5,2,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False
15,2,1,3,3,0,5,2,2,1,1,4,4,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False
17,3,1,1,2,0,5,4,4,3,4,5,2,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True,True,True,True,True
17,3,3,1,2,0,4,3,4,2,3,4,12,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,True,True,True
16,4,4,1,2,0,4,2,4,2,4,1,2,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False
16,2,2,1,2,1,3,1,2,1,1,5,6,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,True,True,False
17,4,3,1,2,0,5,2,3,1,1,2,4,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True
18,3,4,2,2,0,4,2,5,3,4,1,13,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False
18,4,4,2,1,0,3,2,4,1,4,3,22,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,True,True,True,False
16,3,3,2,1,0,5,4,2,1,1,5,0,False,True,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,True,True,False
17,4,4,1,2,0,2,3,4,1,1,1,0,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True
18,4,3,1,3,0,5,4,5,2,3,5,0,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,True,True
17,3,1,1,2,0,4,5,4,2,3,1,17,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,True,False,True,True,False
18,1,1,2,2,0,5,4,4,1,1,4,4,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,True,True,False
17,3,2,2,2,0,1,2,3,1,2,5,2,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True
17,1,1,4,2,3,5,3,5,1,5,5,0,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True
22,3,1,1,1,3,5,4,5,5,5,1,16,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True
17,3,4,3,2,0,5,4,5,2,4,5,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
17,4,4,1,1,0,4,2,1,1,1,4,0,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,True,False,True
16,4,4,1,2,0,4,5,2,1,2,3,0,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True,False
16,3,3,3,1,0,3,3,4,3,5,3,8,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False
19,2,3,1,3,1,5,4,2,1,2,5,0,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False
15,1,1,1,2,3,4,3,2,2,3,3,10,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False
16,2,2,2,4,0,5,3,5,1,1,5,6,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,True,False,True,True,False
16,4,4,1,2,0,5,4,4,1,2,5,2,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,False
18,2,1,4,2,0,4,3,2,4,5,3,14,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True
17,2,2,2,2,0,4,5,2,1,1,1,4,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False
15,2,2,1,1,0,4,2,2,1,2,5,2,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,True,False
15,1,2,1,2,0,3,2,3,1,2,1,2,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
17,4,2,2,3,0,4,3,3,1,1,3,0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,True,True,True,False
16,4,4,1,3,0,5,3,2,1,1,5,0,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,True,False
16,2,1,1,1,0,4,5,2,1,1,5,20,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,True,True
18,3,3,1,4,0,5,3,3,1,1,1,7,False,False,True,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,True,False
19,2,1,3,2,0,3,4,1,1,1,2,20,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True
19,2,1,1,3,1,4,3,4,1,3,3,4,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,True,True,True,True
19,0,1,1,2,3,3,4,2,1,1,5,2,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
16,3,3,1,2,0,4,3,3,2,4,5,54,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,True,True,True,True,True,False
17,3,4,1,3,0,4,3,4,2,5,5,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,True,False
16,4,4,1,2,0,4,4,5,5,5,5,16,False,True,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True,True
15,2,2,2,2,0,5,3,3,1,3,4,4,False,True,True,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,True,True,True,False
17,3,3,1,1,0,4,3,5,3,5,5,3,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,True,False
16,3,3,1,3,0,5,3,3,1,1,5,2,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,True,False
18,3,3,1,2,0,5,3,4,1,1,5,0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True
19,1,2,1,2,1,4,2,4,2,2,3,0,False,False,True,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True
16,3,4,1,1,0,3,2,1,1,4,5,16,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
18,2,1,2,3,0,4,4,4,1,1,3,0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True
16,3,2,1,2,0,1,2,2,1,2,1,14,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,True,True,True,False
18,2,2,1,3,0,4,3,3,1,2,2,5,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,True,True,False
16,2,2,2,2,1,4,3,3,2,2,5,14,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False
18,3,3,2,2,0,4,3,2,1,3,3,0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,True,True,True
16,4,3,3,2,0,5,4,3,1,2,1,2,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,True,True,True,False
18,2,1,1,2,1,5,4,3,1,1,5,12,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True
